4-Non-Blondes_Whats-Up                                                                _^6NXnxTNIWkc.opus
Paul_Mccartney-Admiral_Halsey                                                         _^XTZ9v6exMdU.opus
Pete_Seeger_1963-Down_By_The_Riverside                                                _^bYe-bLaqhhY.opus
Pete_Seeger_1968-Sweden                                                               _^8a0XJ019Oac.opus
Peter_Gabriel-Sledgehammer                                                            _^OJWJE0x7T4Q.m4a 
Peter_Gabriel_Games_Without_Frontiers                                                 _^3xZmlUV8muY.opus
Piers_Adams-Londons-Burning_Interview_wSarah                                          _^nZzwbGO_evs.mkv 
Pilot-Magic-1975                                                                      _^MzlK0OGpIRs.opus
Richie_Havens-Follow                                                                  _^IEazNNJEcm0.opus
Richie_Havens-Freedom_Woodstock_40th_anniversary_8_14_09                              _^wfTjF38wDxM.opus
Roger_Hodgson-Give_A_Little_Bit                                                       _^J9JOut9yh5g.opus
Rose_Murphy-Busy_Line-Women_In_Jazz_40s_50s                                           _^UHE4UTFDlL0.m4a 
STAIRWAY_TO_HEAVEN_PORTUGUES_INGLES                                                   _^iXEsCEOh2yc.mkv 
Sakhile_Dube-Zulu_clicks                                                              _^WHHGOYu6Fl0.m4a 
Santana-Soul_Sacrifice-1969_Woodstock                                                 _^JaaT_HRb4GU.m4a 
Shocking-Blue_Venus                                                                   _^aPEhQugz-Ew.opus
Simplexia-RSS_Disco-Des_Taxis_Pour_Les_Galaxies-2012                                  _^S33prlnKz9s.opus
Solange-Thievery_Corporation-A_Gentle_Dissolve-2009                                   _^abhMCPe5FkY.opus
Spirit-Natures_Way-1970                                                               _^YsTK2LHZKPQ.opus
Stealers_Wheel-Stuck_In_The_Middle_With_You                                           _^ln7Vn_WKkWU.opus
Stevie_Ray_Vaughan-Little_Wing                                                        _^Rj_NUS9hwxA.opus
Taj_Mahal_Jerry_Douglas_Tedeschi_Trucks_Band-Leavin_Trunk                             _^YkzKw1erF_Y.m4a 
The_Band-The_Weight_Remastered                                                        _^QWu-f7HFFJE.opus
The_Band-Up_On_Cripple_Creek                                                          _^zFFGkDmjRlo.opus
The_Mamas_the_Papas-California_Dreamin                                                _^qhZULM69DIw.m4a 
The_Who-Eminence_front                                                                _^GnHLgxKUsEA.mp3 
The_Who-Love_Reign_Oer_Me                                                             _^DhLsC2FpDZk.opus
Tico-Tico_no_Fuba-Paola_Hermosin                                                      _^bw5KuV368Eo.opus
War-Low_Rider                                                                         _^qMkwuz0iXQg.opus
Harry_Edison-The_Strollers-Sweets_Collection                                          _^SwyKsWkB-jw.m4a 
